,,□,一般小売店［鞄・袋物］（経営者）,・今後とも実店舗の売上はネット店舗にかなり影響されるとみられる。また、インバウンドの爆買いもかなり落ち着いて、売上の伸びは期待できない。,,,
,,□,スーパー（販売企画）,・商圏内へ競合店出店の影響はまだ続くと予想される。,,,
,,□,コンビニ（代表者）,・人手不足が懸念されるが、今と変わらず好調に推移すると判断する。,,,
,,□,衣料品専門店（経営者）,・今月は、例年のごとくセールの影響を引きずっているのと、台風が週末に接近する等の難しい状況である。来月からの次のシーズンに向けて期待したい。,,,
,,□,その他専門店［書籍］（店長）,・販売量の微減が続いている。大きく変化する要因は見当たらない。,,,
,,□,その他飲食［居酒屋］（経営者）,・周りの景気は近隣の建築ラッシュやインバウンド向けの店舗の増加で活気があるが、飲食店では相変わらず極端な求人難と働き方改革への対応に追われ、収益率が下がっている。,,,
,,□,観光型ホテル（代表取締役）,・予約としては、秋の企業や団体、そして修学旅行などはほぼ前年並みと予想されるので、ほぼ変わらないとみている。,,,
,,□,旅行代理店（マネージャー）,・県知事選挙などになると企業の出張等が伸び悩む傾向が沖縄にはあるので、その影響があるかと心配しているが、個人客はそこそこ動いている。,,,
,,□,通信会社（サービス担当）,・携帯電話は皆に行き渡っており、新規需要は少ない。機種変更需要はあり、他社からの乗換えに注力している。,,,
,,□,通信会社（営業担当）,・話題性のある新商品の発売が近くあるため、販売量、客数共に伸びるとみられる。年内は新商品で市場が活気付くことを期待している。,,,
,,□,住宅販売会社（代表取締役）,・建築相談など問合せは多いが、建築単価が高止まりしており、そのため建築を断念する客も多い。建築現場での人手不足感も強いが、そのような理由で受注には結び付かないケースもある。,,,
,,▲,衣料品専門店（経営者）,・今年は９～10月も台風がやってくると予想され、景気にも影響が出るのではないかとみている。,,,
,,×,商店街（代表者）,・クルーズ船が入港すると、観光客は商店街を歩くが、売上には直結しないようである。また近年は物販業がなかなか売れなくなっており、空き店舗になるとそこに飲食店が入ってきて乱立し、大変困る面も多々みられるようである。物販は大変厳しい状況である。,,,
"企業
動向
関連

(沖縄)",,◎,輸送業（経営企画室）,・有名歌手のライブもあり、それに伴うイベントなどが増加している。取引先からも出張のホテルが取れないなどの声があるため、それなりの観光効果もあり消費に影響が出るのではないかとみられる。,,,
,,○,輸送業（代表者）,・宮古島、石垣島は観光客対応のホテルや量販店の民間工事が多く、先々も続く模様である。特に宮古島は陸上自衛隊関連の建設工事も本格化しており、生コンの出荷は増大しており今後も続く見込みである。アスファルトの出荷量も上向いている。,,,
,,□,食料品製造業（総務）,・景気そのものは悪くないが今以上に良くなることは考えにくい。しばらく横ばいでいくのではないか。,,,
,,□,窯業・土石製品製造業（経営者）,・現状維持で横ばいの見通しである。,,,
,,□,広告代理店（営業担当）,・今後の景気に関する見通しについて県内ローカルメディアとの日頃の話合いで伺った状況からすると、総じてプラスになるとの見解を示す企業はなく、むしろ現状維持すら困難、との厳しい意見がある。広告販促活動が活発な県内主要企業が県外企業との競争にさらされ、販促費を絞る傾向にあることが起因しているかもしれない。,,,
