,,▲,広告代理店（従業員）,・米国大統領が関税を打ち出して以降、主要各社の業績予想についてマイナスになるとの観測も多く、しばらくはこの雰囲気は変わらないと予想される。当社の売上について当面前年同月を比較するとマイナスとなる見込みであり、３か月後もしばらく景気はやや悪化していくと予想する。,,,
,,▲,その他サービス業［コンサルタント］（代表取締役）,・市町村における当初予算の委託業務のうち比較的金額が大きい物は、既に入札やプロポーザルにより発注が進んでおり、補正予算による予算化がない限り、今後の発注が行われることはなく、景気が悪くなることが予想される。,,,
,,×,繊維工業（営業担当）,・現況が続くと、そのうち倒産にならないまでも閉鎖する工場が出てくると心配している。,,,
"雇用
関連

(九州)",,◎,－,－,,,
,,○,人材派遣会社（社員）,・再開発を中心に求人の回復に期待している。,,,
,,○,新聞社［求人広告］（社員）,・夏に向けた商戦やイベントにより、個人消費の増加を期待している。,,,
,,○,新聞社［求人広告］（担当者）,・ボーナス時期を迎え、そこに賃金上昇が反映されれば、消費活動は活発になるとみられる。加えて、夏休みシーズンでもあり、国内外からの旅行客の消費が多くなることに期待している。,,,
,,□,人材派遣会社（社員）,・景気が良くなる要因がないため、現状は変わらない。,,,
,,□,人材派遣会社（社員）,・現在の見込みは、２～３か月後に３年満了の派遣枠が多く、それを上回る交代受注数が入っていないため、夏場に純増するには苦戦すると予想している。,,,
,,□,人材派遣会社（社員）,・現在契約中の企業について、増員で採用を考えている企業は多くない。新規企業からの注文も、ここ数か月減少傾向にあるが、限定された地区からの一定的な注文もあり、大きく影響はない。,,,
,,□,新聞社［求人広告］（担当者）,・新卒の就職者の退職、転職が目立っており、理由は給与や待遇面でなく人間関係など職場環境と推察される。一方で、人手不足を背景に退職者の受皿も多いが、求人数が多いことを景気の判断材料にするには悩むところである。,,,
,,□,職業安定所（職員）,・米価格が安定するための方針が出されているが、全体的な物価高に給与水準が追い付かず、人手不足でも人件費に余裕がない企業もある。,,,
,,□,職業安定所（職員）,・新規求人数は前年比では増加しているが、就職件数は前年を下回り人手不足に変化はないと予測される。また、景気上昇の要因が見受けられない状況でもあり、今後景気は横ばいと考える。,,,
,,□,学校［大学］（就職支援業務）,・米国政権が打ち出す関税措置を始め、様々な政策が国際経済の不確実性を高めている。日本政府や企業も具体的な対応策を模索してしている状況で、先行きの不透明感が非常に強い。大手自動車メーカーの国内工場の一部閉鎖もあり、当県や九州地域の雇用の不安定な動向や日米の金融政策、株価・為替相場の動向、物価高騰、また、実質賃金が改善する見通しが立たないなど景気上昇には程遠い状況である。,,,
,,▲,民間職業紹介機関（職員）,・米国の関税の影響で、幅広い業界の売上や利益の減少につながることが予測され、人材投資への資金が減少していくと推察される。大手企業だけでなく、当県の中堅、中小企業においても影響が出てくるとみられる。,,,
,,▲,学校［専門学校］（就職担当）,・物価の上昇と賃金の伸びのバランスが取れていないとみられる。エネルギー価格や生活必需品の値上がりが依然として続いており、消費者の購買意欲が更に低下していくことで消費が冷え込み、企業の売上減少や経済活動の停滞につながる可能性がある。,,,
,,×,－,－,,,
,,,,,,,
　12．沖縄（地域別調査機関：一般財団法人南西地域産業活性化センター）,,,,,,,
